date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:23	23170/23170	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:26%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/gt/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/gt/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:24	22835/22835	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:26%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/index/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/index/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:25	22801/22801	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:28%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/jQueryfnextend/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/jQueryfnextend/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:26	24639/24639	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:29%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/jQuerynoConflict/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/jQuerynoConflict/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:27	23080/23080	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:30%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/length/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/length/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:28	22338/22338	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:31%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/lt/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/lt/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:30	23270/23270	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:32%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/removeData/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/removeData/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:30	22665/22665	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:33%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/selector/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/selector/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:31	22083/22083	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:34%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/size/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/size/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:32	20782/20782	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:35%20GMT	http://jquery.jarodxxx.com/manuel/Les-attributs/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-attributs/index.html	(from http://jquery.jarodxxx.com/manuel/)
